,compound,tags,unit_price,units,boiling_point,melting_point,cas_number,smiles,url,nominal_concentration,density,molar_mass,num_reactions,stocked_in_lab
0,toluene,['solvent'],43.3 GBP / liter,5 liter,110 degree_Celsius,-93 degree_Celsius,108-88-3,Cc1ccccc1,https://www.sigmaaldrich.com/catalog/product/sial/244511?lang=en&region=GB,,,,,True
1,1-Z-Piperazine,"['starting_material', 'amine']",7.72 GBP / milliliter,200 milliliter,158 degree_Celsius,,31166-44-6,O=C(OCc1ccccc1)N2CCNCC2,https://www.sigmaaldrich.com/catalog/product/aldrich/456926?lang=en&region=GB,1.0 millimole / milliliter,1.142 gram / milliliter,220.25 gram / mole,129.6,False
2,cyclobutanol,"['starting_material', 'alcohol']",56.6 GBP / gram,25 gram,123 degree_Celsius,25.93 degree_Celsius,2919-23-5,OC1CCC1,https://www.sigmaaldrich.com/catalog/product/aldrich/156434?lang=en&region=GB,1.0 millimole / milliliter,0.921 gram / milliliter,72.11 gram / mole,43.3,False
3,cyclopentaol,"['starting_material', 'alcohol']",0.1326 GBP / milliliter,500 milliliter,139 degree_Celsius,-19.0 degree_Celsius,96-41-3,OC1CCC1,https://www.sigmaaldrich.com/catalog/product/aldrich/c112208?lang=en&region=GB,1.0 millimole / milliliter,0.949 gram / milliliter,86.13 gram / mole,688.6,False
4,cyclohexanol,"['starting_material', 'alcohol']",0.0247 GBP / milliliter,1000 milliliter,161.8 degree_Celsius,25.93 degree_Celsius,96-41-3,OC1CCCC1,https://www.sigmaaldrich.com/catalog/product/aldrich/c112208?lang=en&region=GB,1.0 millimole / milliliter,0.948 gram / milliliter,100.16 gram / mole,1183.1,False
5,cycloheptanol,"['starting_material', 'alcohol']",0.708 GBP / gram,50 gram,161.8 degree_Celsius,185 degree_Celsius,502-41-0,OC1CCCCCC1,https://www.sigmaaldrich.com/catalog/product/aldrich/c98802?lang=en&region=GB,1.0 millimole / milliliter,0.948 gram / milliliter,114.19 gram / mole,54.7,False
6,Dichloro(p-cymene)ruthenium(II) dimer,['catalyst'],34.0 GBP / gram,40 gram,,,52462-29-0,,https://www.sigmaaldrich.com/catalog/product/aldrich/343706?lang=en&region=GB,0.05 millimole / milliliter,,612.39 gram / mole,163.3,False
7,DPEphos,['ligand'],6.04 GBP / gram,25 gram,,,166330-10-5,,https://www.sigmaaldrich.com/catalog/product/aldrich/510017?lang=en&region=GB,0.05 millimole / milliliter,,538.55 gram / mole,116.1,False
8,DPPF,['ligand'],16.36 GBP / gram,10 gram,,,12150-46-8,,https://www.sigmaaldrich.com/catalog/product/aldrich/177261?lang=en&region=GB,0.05 millimole / milliliter,,554.38 gram / mole,45.1,False
9,DPPM,['ligand'],8.4 GBP / gram,10 gram,,,2071-20-7,,https://www.sigmaaldrich.com/catalog/product/aldrich/127566?lang=en&region=GB,0.05 millimole / milliliter,,384.39 gram / mole,65.0,False
10,DPPE,['ligand'],4.6 GBP / gram,10 gram,,,1663-45-2,,https://www.sigmaaldrich.com/catalog/product/aldrich/376728?lang=en&region=GB,0.05 millimole / milliliter,,398.42 gram / mole,62.7,False
11,DPPP,['ligand'],5.36 GBP / gram,10 gram,,,6737-42-4,,https://www.sigmaaldrich.com/catalog/product/aldrich/262048?lang=en&region=GB,0.05 millimole / milliliter,,412.44 gram / mole,60.6,False
12,DPPB,['ligand'],6.0 GBP / gram,10 gram,,,7688-25-7,,https://www.sigmaaldrich.com/catalog/product/aldrich/261947?lang=en&region=GB,0.05 millimole / milliliter,,426.47 gram / mole,58.6,False
13,DPPPE,['ligand'],29.6 GBP / gram,10 gram,,, 27721-02-4,,https://www.sigmaaldrich.com/catalog/product/aldrich/376728?lang=en&region=GB,0.05 millimole / milliliter,,440.5 gram / mole,56.8,False
